ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2020-07-20,68179.9024621552,2157.08576546291,104030.3971347492,68179.9024621552,68179.9024621552,-8004.50371254669,-8004.50371254669,-8004.50371254669,-8004.50371254669,-8004.50371254669,-8004.50371254669,0.0,0.0,0.0,60175.3987496085,61482.0
2020-07-21,68839.69129805546,1007.7167731706998,126765.40010851098,68839.69129805546,68839.69129805546,-3166.5600830570293,-3166.5600830570293,-3166.5600830570293,-3166.5600830570293,-3166.5600830570293,-3166.5600830570293,0.0,0.0,0.0,65673.13121499843,65433.0
2020-07-22,69499.4801483632,3920.979208479261,128699.40709363861,69499.4801483632,69499.4801483632,722.6113222900497,722.6113222900497,722.6113222900497,722.6113222900497,722.6113222900497,722.6113222900497,0.0,0.0,0.0,70222.09147065325,71699.0
2020-07-23,70159.26899867092,14104.18261775503,138486.32032682834,70159.26899867092,70159.26899867092,16363.434287197757,16363.434287197757,16363.434287197757,16363.434287197757,16363.434287197757,16363.434287197757,0.0,0.0,0.0,86522.70328586867,79846.0
2020-07-24,70819.05784897866,16435.160745763267,129639.17578295196,70819.05784897866,70819.05784897866,-19.261126408170004,-19.261126408170004,-19.261126408170004,-19.261126408170004,-19.261126408170004,-19.261126408170004,0.0,0.0,0.0,70799.79672257049,75085.0
2020-07-25,71478.8466992864,20804.02724585889,106279.3399030282,71478.8466992864,71478.8466992864,-1649.4229586521337,-1649.4229586521337,-1649.4229586521337,-1649.4229586521337,-1649.4229586521337,-1649.4229586521337,0.0,0.0,0.0,69829.42374063426,74405.0
2020-07-26,72138.63554959414,2187.290242197284,125370.343448632,72138.63554959414,72138.63554959414,-4246.297728824248,-4246.297728824248,-4246.297728824248,-4246.297728824248,-4246.297728824248,-4246.297728824248,0.0,0.0,0.0,67892.33782076988,72905.0
2020-07-27,72798.42439990185,-7.5140976178080905,113640.68276702892,72798.42439990185,72798.42439990185,-8004.503712586805,-8004.503712586805,-8004.503712586805,-8004.503712586805,-8004.503712586805,-8004.503712586805,0.0,0.0,0.0,64793.92068731505,69258.0
2020-07-28,73458.21325020959,11939.424875090464,126862.2898940978,73458.21325020959,73458.21325020959,-3166.560083050218,-3166.560083050218,-3166.560083050218,-3166.560083050218,-3166.560083050218,-3166.560083050218,0.0,0.0,0.0,70291.65316715937,77992.0
2020-07-29,74118.00210051733,22256.031251711396,127063.63162807068,74118.00210051733,74118.00210051733,722.6113222875719,722.6113222875719,722.6113222875719,722.6113222875719,722.6113222875719,722.6113222875719,0.0,0.0,0.0,74840.6134228049,77899.0
2020-07-30,74777.79095082507,35053.53418603741,144664.86397184312,74777.79095082507,74777.79095082507,16363.434287200065,16363.434287200065,16363.434287200065,16363.434287200065,16363.434287200065,16363.434287200065,0.0,0.0,0.0,91141.22523802514,80928.0
2020-07-31,75437.5798011328,22609.648100641884,135795.67309609675,75437.5798011328,75437.5798011328,-19.26112643041063,-19.26112643041063,-19.26112643041063,-19.26112643041063,-19.26112643041063,-19.26112643041063,0.0,0.0,0.0,75418.31867470239,88557.0
2020-08-01,76097.36865144054,23518.464831345835,127179.54931475436,76097.36865144054,76097.36865144054,-1649.4229586603299,-1649.4229586603299,-1649.4229586603299,-1649.4229586603299,-1649.4229586603299,-1649.4229586603299,0.0,0.0,0.0,74447.94569278021,77582.0
2020-08-02,76757.1574365634,20057.70309220716,130283.36641801064,76757.1574365634,76757.1574365634,-4246.297728849186,-4246.297728849186,-4246.297728849186,-4246.297728849186,-4246.297728849186,-4246.297728849186,0.0,0.0,0.0,72510.85970771422,81778.0
2020-08-03,77416.94622168623,12409.589734970967,124998.67004849228,77416.94622168623,77416.94622168623,-8004.503712566273,-8004.503712566273,-8004.503712566273,-8004.503712566273,-8004.503712566273,-8004.503712566273,0.0,0.0,0.0,69412.44250911995,75214.0
2020-08-04,78076.73500680909,22481.485175589456,126415.50049995014,78076.73500680909,78076.73500680909,-3166.560083040568,-3166.560083040568,-3166.560083040568,-3166.560083040568,-3166.560083040568,-3166.560083040568,0.0,0.0,0.0,74910.17492376851,79343.0
2020-08-05,78736.52379193195,29588.652836905298,117569.98261601558,78736.52379193195,78736.52379193195,722.6113223048948,722.6113223048948,722.6113223048948,722.6113223048948,722.6113223048948,722.6113223048948,0.0,0.0,0.0,79459.13511423684,85857.0
2020-08-06,79396.3125770548,33501.320103508755,146436.60753111364,79396.3125770548,79396.3125770548,16363.43428719789,16363.43428719789,16363.43428719789,16363.43428719789,16363.43428719789,16363.43428719789,0.0,0.0,0.0,95759.7468642527,90742.0
