index,Europe
2020-12-21,186761.0
2020-12-22,236518.0
2020-12-23,247131.0
2020-12-24,249434.0
2020-12-25,180469.0
2020-12-26,139725.0
2020-12-27,135144.0
2020-12-28,171874.0
2020-12-29,243752.0
2020-12-30,295302.0
2020-12-31,269948.0
2021-01-01,208756.0
2021-01-02,158864.0
2021-01-03,167513.0
2021-01-04,203099.0
2021-01-05,275122.0
2021-01-06,269019.0
2021-01-07,320328.0
2021-01-08,274380.0
2021-01-09,227380.0
2021-01-10,182595.0
2021-01-11,212483.0
2021-01-12,236938.0
2021-01-13,262589.0
2021-01-14,257236.0
2021-01-15,245371.0
2021-01-16,185002.0
2021-01-17,155764.0
2021-01-18,209158.0
2021-01-19,202434.0
2021-01-20,248050.0
2021-01-21,224925.0
2021-01-22,229892.0
2021-01-23,169298.0
2021-01-24,139500.0
2021-01-25,194342.0
2021-01-26,178969.0
2021-01-27,216283.0
2021-01-28,210323.0
2021-01-29,203879.0
2021-01-30,155788.0
2021-01-31,115587.0
2021-02-01,170585.0
2021-02-02,159357.0
2021-02-03,186177.0
2021-02-04,159201.0
2021-02-05,196711.0
2021-02-06,130590.0
2021-02-07,108925.0
2021-02-08,125867.0
2021-02-09,129095.0
2021-02-10,156152.0
2021-02-11,154749.0
2021-02-12,148190.0
2021-02-13,120968.0
2021-02-14,93833.0
2021-02-15,101953.0
2021-02-16,122990.0
2021-02-17,147886.0
2021-02-18,154407.0
2021-02-19,154955.0
2021-02-20,128752.0
2021-02-21,111870.0
2021-02-22,103315.0
2021-02-23,134527.0
2021-02-24,171819.0
2021-02-25,169900.0
2021-02-26,165259.0
2021-02-27,145279.0
2021-02-28,117945.0
2021-03-01,101390.0
2021-03-02,68041.0
2021-03-03,175104.0
2021-03-04,175061.0
2021-03-05,174983.0
2021-03-06,155086.0
2021-03-07,128199.0
2021-03-08,101162.0
2021-03-09,151322.0
2021-03-10,193655.0
2021-03-11,185346.0
2021-03-12,191390.0
2021-03-13,183242.0
2021-03-14,146721.0
2021-03-15,121954.0
2021-03-16,185844.0
2021-03-17,207213.0
2021-03-18,231193.0
2021-03-19,215346.0
2021-03-20,193978.0
2021-03-21,160930.0
2021-03-22,151637.0
2021-03-23,179363.0
2021-03-24,255899.0
2021-03-25,252658.0
2021-03-26,238758.0
2021-03-27,218164.0
2021-03-28,162749.0
2021-03-29,138897.0
2021-03-30,204406.0
2021-03-31,255551.0
2021-04-01,250840.0
2021-04-02,216127.0
2021-04-03,152608.0
2021-04-04,198793.0
2021-04-05,107049.0
2021-04-06,130474.0
2021-04-07,161655.0
2021-04-08,282259.0
2021-04-09,174875.0
2021-04-10,145265.0
2021-03-14,146721.0
2021-03-15,121954.0
2021-03-16,185844.0
2021-03-17,207213.0
2021-03-18,231193.0
2021-03-19,215346.0
2021-03-20,193978.0
2021-03-21,160930.0
2021-03-22,151637.0
2021-03-23,179363.0
2021-03-24,255899.0
2021-03-25,252658.0
2021-03-26,238758.0
2021-03-27,218164.0
2021-03-28,162749.0
2021-03-29,138897.0
2021-03-30,204406.0
2021-03-31,255551.0
2021-04-01,250840.0
2021-04-02,216127.0
2021-04-03,152608.0
2021-04-04,198793.0
2021-04-05,107049.0
2021-04-06,130474.0
2021-04-07,161655.0
2021-04-08,282259.0
2021-04-09,174875.0
2021-04-10,145265.0
2021-04-11,139955.53125
2021-04-12,128969.546875
2021-04-13,155998.390625
2021-04-14,164098.609375
2021-04-15,172644.53125
2021-04-16,167060.953125
2021-04-17,159136.125
2021-04-18,145965.84375
2021-04-19,142058.890625
2021-04-20,153450.015625
2021-04-21,180859.6875
2021-04-22,179815.625
2021-04-23,175222.984375
2021-04-24,168072.0
2021-04-25,146720.03125
2021-04-26,136555.421875
2021-04-27,163060.84375
2021-04-28,180748.0625
2021-04-29,179225.546875
2021-04-30,167341.9375
2021-05-01,142471.34375
2021-05-02,160961.9375
2021-05-03,122041.4296875
2021-05-04,132822.484375
2021-05-05,146266.859375
2021-05-06,188979.9375
2021-05-07,151660.09375
2021-05-08,139327.6875
2021-05-09,137019.203125
2021-05-10,132147.78125
2021-05-11,143903.734375
2021-05-12,147277.390625
2021-05-13,150762.8125
2021-05-14,148494.125
2021-05-15,145218.703125
2021-05-16,139630.171875
2021-05-17,137937.28125
2021-05-18,142828.21875
2021-05-19,154042.328125
2021-05-20,153629.390625
2021-05-21,151799.609375
2021-05-22,148907.328125
2021-05-23,139955.109375
2021-05-24,135525.234375
2021-05-25,146848.984375
2021-05-26,153998.234375
2021-05-27,153395.5
2021-05-28,148609.0625
2021-05-29,138116.765625
2021-05-30,145979.109375
2021-05-31,
