Date,Lockdowns,Real new cases,Pred new cases
2020-04-16,True,12578.0,5958.979746727694
2020-04-17,True,1891.0,5552.079152467062
2020-04-18,True,3806.0,4967.267217348031
2020-04-19,True,1092.0,3759.7052771197646
2020-04-20,True,2447.0,3040.8159049160913
2020-04-21,True,2666.0,4323.1342519850705
2020-04-22,True,1800.0,3334.7835028660247
2020-04-23,True,-1710.0,6063.698389385906
2020-04-24,True,2811.0,5656.797894978962
2020-04-25,True,1678.0,5071.986059723992
2020-04-26,True,633.0,3864.424219351325
2020-04-27,True,3686.0,3145.534947003025
2020-04-28,True,3132.0,4427.853393931873
2020-04-29,True,-1455.0,3439.502744670815
2020-04-30,True,1218.0,6168.417731050484
2020-05-01,True,526.0,5761.517236646953
2020-05-02,True,792.0,5176.70540138993
2020-05-03,True,361.0,3969.1435610085327
2020-05-04,True,562.0,3250.2542886639017
2020-05-05,True,1117.0,4532.572864805429
2020-05-06,True,4136.0,3544.2223447557335
2020-05-07,True,741.0,6273.137460346663
2020-05-08,True,531.0,5866.237095150462
2020-05-09,True,529.0,5281.425389105912
2020-05-10,True,249.0,4073.8636779441563
2020-05-11,False,314.0,3354.974534808287
2020-05-12,False,753.0,-368.7380332551346
2020-05-13,False,521.0,-1357.0885533061926
2020-05-14,False,642.0,1371.82656229066
2020-05-15,False,513.0,964.9261970922607
2020-05-16,False,415.0,380.1148425804097
2020-05-17,False,140.0,-827.4465170475655
2020-05-18,False,444.0,-1546.3353086488573
2020-05-19,False,501.0,-264.0163809723976
2020-05-20,False,482.0,-1252.3665494852864
2020-05-21,False,267.0,1476.548917644738
2020-05-22,False,756.0,1069.6489039848352
2020-05-23,False,546.0,484.8375494750886
2020-05-24,False,-439.0,-722.7238101524806
2020-05-25,False,325.0,-1441.6126017536967
